Date,Time,S01_C02_ival,S01_C02_T,S02_C02_ival,S02_C02_T,S03_C02_ival,S03_C02_T
03/08/15,18:00:00,18.395520522,111536,12.9750457951,55267,15.1984954883,83656
03/08/15,19:00:00,16.2132659765,113375,12.5719812789,56565,13.6214114844,85176
03/08/15,20:00:00,15.1066617212,114997,9.5969812789,57822,12.1426472269,86538
03/08/15,21:00:00,13.6205687698,116507,6.526013537,58782,10.3033905932,87753
03/08/15,22:00:00,11.9771248001,117869,5.3380339105,59434,7.1608188792,88783
03/08/15,23:00:00,9.5686624678,119067,0.0769812789,59968,5.0086852985,89499
04/08/15,00:00:00,8.9074572809,120024,0.0769812789,59976,4.6919288841,90000
04/08/15,01:00:00,6.6629692023,120915,0.0769812789,59984,3.5483199377,90469
04/08/15,02:00:00,5.844995554,121581,0.0769812789,59991,3.6931904485,90824
04/08/15,03:00:00,6.6978497603,122166,0.0769812789,59999,3.6436673377,91193
04/08/15,04:00:00,7.3543516908,122835,0.0769812789,60007,5.410895029,91558
04/08/15,05:00:00,16.2132659765,123571,17.461329105,60014,12.1426472269,92099
04/08/15,06:00:00,20.553116824,125192,15.8601391737,61761,15.8632628197,93313
04/08/15,07:00:00,22.0723610585,127247,12.5719812789,63347,16.7493639746,94899
04/08/15,08:00:00,25.5315849639,129455,13.4049812789,64604,20.4388801037,96574
04/08/15,09:00:00,25.6119707384,132008,11.1836479456,65944,19.3260752256,98618
04/08/15,10:00:00,24.4573387038,134569,11.5009812789,67063,18.8279646107,100551
04/08/15,11:00:00,22.8561037124,137015,10.8834677654,68213,17.6862205292,102434
04/08/15,12:00:00,23.3360775372,139300,11.1836479456,69301,17.9956982855,104202
04/08/15,13:00:00,21.5476659765,141634,10.3292889712,70420,16.1318717355,106002
04/08/15,14:00:00,19.9942418007,143789,10.0729812789,71452,15.1984954883,107615
04/08/15,15:00:00,19.362831934,145788,6.7409812789,72460,14.4480264451,109135
04/08/15,16:00:00,19.3755749586,147724,10.0729812789,73134,15.1005043075,110580
04/08/15,17:00:00,18.8184380696,149662,11.1836479456,74141,15.6675386402,112090
04/08/15,18:00:00,18.395520522,151544,12.9750457951,75259,15.1984954883,113656
04/08/15,19:00:00,16.2132659765,153383,12.5719812789,76557,13.6214114844,115176
04/08/15,20:00:00,15.1066617212,155005,9.5969812789,77814,12.1426472269,116538
04/08/15,21:00:00,13.6205687698,156515,6.526013537,78774,10.3033905932,117753
04/08/15,22:00:00,11.9771248001,157877,5.3380339105,79426,7.1608188792,118783
04/08/15,23:00:00,9.5686624678,159075,0.0769812789,79960,5.0086852985,119499
05/08/15,00:00:00,8.9074572809,160032,0.0769812789,79968,4.6919288841,120000
05/08/15,01:00:00,6.6629692023,160923,0.0769812789,79976,3.5483199377,120469
05/08/15,02:00:00,5.844995554,161589,0.0769812789,79983,3.6931904485,120824
05/08/15,03:00:00,6.6978497603,162174,0.0769812789,79991,3.6436673377,121193
05/08/15,04:00:00,7.3543516908,162843,0.0769812789,79999,5.410895029,121558
05/08/15,05:00:00,16.2132659765,163579,17.461329105,80006,12.1426472269,122099
05/08/15,06:00:00,20.553116824,165200,15.8601391737,81753,15.8632628197,123313
05/08/15,07:00:00,22.0723610585,167255,12.5719812789,83339,16.7493639746,124899
05/08/15,08:00:00,25.5315849639,169463,13.4049812789,84596,20.4388801037,126574
05/08/15,09:00:00,25.6119707384,172016,11.1836479456,85936,19.3260752256,128618
05/08/15,10:00:00,24.4573387038,174577,11.5009812789,87055,18.8279646107,130551
05/08/15,11:00:00,22.8561037124,177023,10.8834677654,88205,17.6862205292,132434
05/08/15,12:00:00,23.3360775372,179308,11.1836479456,89293,17.9956982855,134202
05/08/15,13:00:00,21.5476659765,181642,10.3292889712,90412,16.1318717355,136002
05/08/15,14:00:00,19.9942418007,183797,10.0729812789,91444,15.1984954883,137615
05/08/15,15:00:00,19.362831934,185796,6.7409812789,92452,14.4480264451,139135
05/08/15,16:00:00,19.3755749586,187732,10.0729812789,93126,15.1005043075,140580
05/08/15,17:00:00,18.8184380696,189670,11.1836479456,94133,15.6675386402,142090
05/08/15,18:00:00,18.395520522,191552,12.9750457951,95251,15.1984954883,143656
05/08/15,19:00:00,16.2132659765,193391,12.5719812789,96549,13.6214114844,145176
05/08/15,20:00:00,15.1066617212,195013,9.5969812789,97806,12.1426472269,146538
05/08/15,21:00:00,13.6205687698,196523,6.526013537,98766,10.3033905932,147753
05/08/15,22:00:00,11.9771248001,197885,5.3380339105,99418,7.1608188792,148783
05/08/15,23:00:00,9.5686624678,199083,0.0769812789,99952,5.0086852985,149499
